# Dataset data/gdac_trees/LUAD.json
# Number of tumors: 230
# Number of genes: 31
# Analysis folder result/gdac_trees/LUAD
# Analysis parameters: 10 chains, 0 mixings, 100000 samples between mixings
# Analysis time: 85963 seconds
# ----------Convergence analysis------------ #
# Best chain has converged (Geweke z score: 0.157)
# Gelman_Rubin convergence IS achieved (GR score: 1.019)
# ----------Result analysis------------ # 
# Star tree log likelihood: -1106.1481
# Star tree log prior: 0.0000
# Star tree log posterior: -1106.1481
# Best sample log likelihood: -1053.2312
# Best sample log prior: 0.0000
# Best sample log posterior: -1053.2312
# Best sample epsilon (false positive rate): 0.00196
# Best sample delta (false negative rate): 0.00196
# Move type specific statistics:
,hmerge,hsplit,vmerge,vsplit,swap,spr,gt
n_proposed(r0-c0),6729,6673,6634,6660,6647,33004,33653
n_proposed(r0-c1),6763,6716,6511,6842,6597,33368,33203
n_proposed(r0-c2),6621,6782,6741,6721,6744,32996,33395
n_proposed(r0-c3),6591,6767,6553,6575,6686,33485,33343
n_proposed(r0-c4),6647,6644,6786,6606,6588,33320,33409
n_proposed(r0-c5),6781,6706,6570,6651,6699,33027,33566
n_proposed(r0-c6),6614,6604,6746,6542,6647,33313,33534
n_proposed(r0-c7),6653,6547,6669,6623,6716,33437,33355
n_proposed(r0-c8),6669,6578,6796,6571,6741,33392,33253
n_proposed(r0-c9),6649,6651,6735,6541,6730,33463,33231
n_novel(r0-c0),6646,6618,6634,6660,6645,30422,33649
n_novel(r0-c1),6680,6671,6511,6841,6596,30815,33197
n_novel(r0-c2),6512,6701,6741,6720,6744,30377,33393
n_novel(r0-c3),6493,6696,6550,6575,6686,30970,33342
n_novel(r0-c4),6556,6567,6786,6605,6588,30748,33399
n_novel(r0-c5),6689,6669,6570,6651,6697,30432,33564
n_novel(r0-c6),6522,6544,6746,6540,6646,30708,33520
n_novel(r0-c7),6587,6500,6669,6623,6716,30811,33353
n_novel(r0-c8),6641,6544,6795,6571,6741,30631,33249
n_novel(r0-c9),6576,6609,6734,6540,6729,30979,33226
n_accepted(r0-c0),2200,2177,1983,1973,1562,8642,6507
n_accepted(r0-c1),2247,2143,1999,2078,1628,8866,6374
n_accepted(r0-c2),2234,2220,2030,2020,1581,8673,6434
n_accepted(r0-c3),2223,2189,1990,1995,1767,9041,6515
n_accepted(r0-c4),2271,2235,2049,2058,1683,8951,6671
n_accepted(r0-c5),2276,2229,1983,2001,1625,8529,6437
n_accepted(r0-c6),2263,2278,2049,2008,1755,8835,6617
n_accepted(r0-c7),2220,2199,2139,2132,1651,8959,6476
n_accepted(r0-c8),2173,2166,2077,2062,1534,8692,6749
n_accepted(r0-c9),2258,2208,2037,2059,1658,9041,6580
