# Dataset data/gdac_trees/LUSC.json
# Number of tumors: 178
# Number of genes: 34
# Analysis folder result/gdac_trees/LUSC
# Analysis parameters: 10 chains, 0 mixings, 100000 samples between mixings
# Analysis time: 84927 seconds
# ----------Convergence analysis------------ #
# Best chain has converged (Geweke z score: 0.118)
# Gelman_Rubin convergence IS achieved (GR score: 1.039)
# ----------Result analysis------------ # 
# Star tree log likelihood: -900.7537
# Star tree log prior: 0.0000
# Star tree log posterior: -900.7537
# Best sample log likelihood: -855.8465
# Best sample log prior: 0.0000
# Best sample log posterior: -855.8465
# Best sample epsilon (false positive rate): 0.00072
# Best sample delta (false negative rate): 0.00072
# Move type specific statistics:
,hmerge,hsplit,vmerge,vsplit,swap,spr,gt
n_proposed(r0-c0),6753,6528,6545,6669,6849,33221,33435
n_proposed(r0-c1),6708,6680,6658,6885,6657,33230,33182
n_proposed(r0-c2),6637,6743,6723,6709,6679,33142,33367
n_proposed(r0-c3),6601,6754,6718,6615,6616,33589,33107
n_proposed(r0-c4),6557,6689,6790,6585,6836,33421,33122
n_proposed(r0-c5),6760,6660,6672,6550,6657,33374,33327
n_proposed(r0-c6),6694,6616,6725,6698,6736,32976,33555
n_proposed(r0-c7),6565,6640,6688,6697,6685,33444,33281
n_proposed(r0-c8),6598,6626,6711,6601,6712,33446,33306
n_proposed(r0-c9),6645,6653,6737,6652,6707,33164,33442
n_novel(r0-c0),6635,6397,6545,6669,6848,31282,33431
n_novel(r0-c1),6637,6640,6658,6885,6656,31285,33182
n_novel(r0-c2),6517,6678,6723,6709,6679,31054,33363
n_novel(r0-c3),6512,6671,6717,6615,6616,31586,33106
n_novel(r0-c4),6498,6647,6786,6584,6835,31399,33115
n_novel(r0-c5),6647,6583,6671,6550,6656,31325,33327
n_novel(r0-c6),6540,6524,6725,6697,6736,30907,33544
n_novel(r0-c7),6460,6526,6688,6697,6685,31288,33277
n_novel(r0-c8),6450,6528,6711,6600,6712,31334,33305
n_novel(r0-c9),6554,6578,6736,6652,6706,31102,33442
n_accepted(r0-c0),2733,2652,1573,1623,2063,8013,6093
n_accepted(r0-c1),2720,2616,1587,1664,1840,7827,6353
n_accepted(r0-c2),2712,2691,1645,1625,1877,8033,6361
n_accepted(r0-c3),2765,2706,1614,1640,1824,8019,6087
n_accepted(r0-c4),2712,2665,1597,1601,1955,8079,6355
n_accepted(r0-c5),2805,2772,1572,1554,2033,8169,6135
n_accepted(r0-c6),2750,2726,1681,1660,1929,8253,6085
n_accepted(r0-c7),2761,2712,1593,1604,1688,8179,6151
n_accepted(r0-c8),2692,2676,1594,1579,1777,8015,6027
n_accepted(r0-c9),2719,2673,1611,1622,1833,7904,6334
