Geweke_Z_score,best_llh,best_post,best_pri,caset,disc,gen_e,gen_llh,gen_llh_with_model_e,gen_post,gen_pri,model_e,mx_f,mx_precision,mx_recall,n_genes,n_tumors,prog_f,prog_precision,prog_recall,spent_time,star_llh,star_post,star_pri,tree_depth,tree_idx,tree_size,w_mx_f,w_mx_precision,w_mx_recall,w_prog_f,w_prog_precision,w_prog_recall
0.114,-47.4026,-47.4026,0.0,0.29700854700854695,0.5202991452991456,0.001,-61.45777826971252,-44.785865820878406,-61.45777826971252,0.0,0.0044304603567946466,0.4,0.25,1.0,13.0,10.0,0.2608695652173913,0.3,0.23076923076923078,1866.0,-59.7345,-59.7345,0.0,2.0,0.0,1.077,0.5808479885414838,0.409292298394817,1.0,0.4668453418467194,0.4826802132815435,0.4520164305565119
0.051,-154.7318,-154.7318,0.0,0.12454212454212453,0.2015567765567766,0.001,-202.96158598800648,-154.2117865678072,-202.96158598800648,0.0,0.0010868123165506617,1.0,1.0,1.0,14.0,30.0,0.6666666666666666,0.7142857142857143,0.625,5566.0,-195.8779,-195.8779,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.947219354223575,0.9105209907391504,0.9870001965553741
0.108,-571.4986,-571.4986,0.0,0.01098901098901099,0.029304029304029307,0.001,-710.1074179538921,-571.8460453063328,-710.1074179538921,0.0,0.021120993893733665,1.0,1.0,1.0,14.0,100.0,0.9696969696969697,0.9411764705882353,1.0,18488.0,-722.836,-722.836,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.9623080263957099,0.927354215772968,1.0
0.141,-1644.0862,-1644.0862,0.0,0.0,0.0,0.001,-2096.7658516249116,-1644.3169711002934,-2096.7658516249116,0.0,0.009080090426952543,1.0,1.0,1.0,14.0,300.0,1.0,1.0,1.0,51287.0,-2075.5881,-2075.5881,0.0,2.0,0.0,1.077,1.0,1.0,1.0,1.0,1.0,1.0
0.02,-40.4028,-40.4028,0.0,0.3333333333333333,0.4678030303030301,0.01,-57.48700893290108,-49.67533658044784,-57.48700893290108,0.0,0.012385029351498583,0.0,0.0,0.0,12.0,10.0,0.3333333333333333,0.2857142857142857,0.4,1470.0,-52.2889,-52.2889,0.0,2.0,0.0,1.077,0.0,0.0,0.0,0.6238857588220631,0.599783965199079,0.6500056675944345
0.147,-151.8045,-151.8045,0.0,0.17582417582417584,0.2191391941391941,0.01,-204.49540613727427,-153.27700641203944,-204.49540613727427,0.0,0.0006391480403400163,1.0,1.0,1.0,14.0,30.0,0.6451612903225806,0.6666666666666666,0.625,5515.0,-201.229,-201.229,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.8846539781333789,0.8566503555069233,0.9145503322438023
0.094,-565.2809,-565.2809,0.0,0.0,0.0,0.01,-708.457007482453,-565.8614523189274,-708.457007482453,0.0,0.010131213861608972,1.0,1.0,1.0,14.0,100.0,1.0,1.0,1.0,16815.0,-719.1965,-719.1965,0.0,2.0,0.0,1.077,1.0,1.0,1.0,1.0,1.0,1.0
0.168,-1707.2528,-1707.2528,0.0,0.07417582417582418,0.1152930402930403,0.01,-2122.1384863027147,-1707.5009269445802,-2122.1384863027147,0.0,0.011829207219741948,1.0,1.0,1.0,14.0,300.0,0.7999999999999999,0.8571428571428571,0.75,49671.0,-2081.6617,-2081.6617,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.9831257430477522,0.982937848176279,0.9833137097675784
0.008,-55.059,-55.059,0.0,0.24545454545454545,0.4148484848484848,0.02,-59.24193313706469,-53.24202873292299,-59.24193313706469,0.0,0.03185784242603763,0.0,0.0,0.0,11.0,10.0,0.4,1.0,0.25,1481.0,-58.2694,-58.2694,0.0,2.0,0.0,1.077,0.0,0.0,0.0,0.5673217116797875,1.0,0.39598681455901813
0.219,-184.4328,-184.4328,0.0,0.14285714285714285,0.16135531135531134,0.02,-218.56006632461578,-184.43259483430973,-218.56006632461578,0.0,0.034942891515517584,1.0,1.0,1.0,14.0,30.0,0.7096774193548386,0.7333333333333333,0.6875,4483.0,-224.5775,-224.5775,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.935759031794548,0.9247205425994267,0.9470642401251864
